system:index,am_cloud,am_convective,am_precip,am_ssrd,date,pm_cloud,pm_convective,pm_precip,pm_ssrd,.geo
0,0.991577877352635,0.004435953252444354,0.004892095040607576,2971619.76953125,2004-01-01,0.9857514500617981,0.003448749155116578,0.004169535493322958,6642179.169270833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6339482615391413,1.8006915342994034E-4,4.0017896875118214E-4,4261891.755208333,2004-01-02,0.5350217915450534,3.023171448148787E-4,4.646280237163107E-4,9831039.182291666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.43226742558181286,8.201329813649257E-4,0.001153372034120063,4255956.265625,2004-01-03,0.40937803654621047,2.936586776437859E-4,4.7367403749376535E-4,9912380.205729166,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.8458242615063986,0.0023699238469513753,0.0026896034056941667,3428365.3854166665,2004-01-04,0.8910748350123564,0.00386061126482673,0.004523120839924862,7236605.591145833,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8457931826512018,3.515267647647609E-4,5.064876362060507E-4,4076611.8489583335,2004-01-05,0.8425227254629135,7.061919604893774E-4,9.621319962510219E-4,9736342.244791666,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.9470959082245827,0.0016312214720528573,0.002155631431378424,3161442.3567708335,2004-01-06,0.930638795097669,0.0012766142123534034,0.001938488722468416,7544993.516927083,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.968193344771862,2.1729884125913182E-4,5.453368648886681E-4,3895511.66796875,2004-01-07,0.9624017352859179,2.7779872471001E-4,5.975698004476726E-4,8184024.859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.8631688915193081,4.975687285574774E-4,0.0015646589066212375,2293576.9388020835,2004-01-08,0.9587506651878357,0.001921968762568819,0.004580669784142326,4724812.653645833,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6845228901753823,4.6993242964769405E-4,7.115797877001265E-4,3587548.2239583335,2004-01-09,0.6947172582149506,0.0014892724915019546,0.0020100697486971817,8442601.255208334,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9026408890883127,5.719846424957117E-4,7.443197343188027E-4,3814006.4661458335,2004-01-10,0.7619464310506979,0.00106545836024452,0.00147433573147282,8518857.174479166,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.8717023668189844,1.5206504031084478E-4,3.6293747446810204E-4,4556437.760416667,2004-01-11,0.9466839072604974,2.3840870320176086E-4,6.097284106848141E-4,9758952.828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
