system:index,date,tp_sum_m,.geo
20040101,2004-01-01,0.016146500894947693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040102,2004-01-02,0.0034971729970802667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040103,2004-01-03,0.004007074970866399,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040104,2004-01-04,0.014173116642671013,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040105,2004-01-05,0.007501580491132171,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040106,2004-01-06,0.00855709711578107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040107,2004-01-07,0.0030359435195231165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040108,2004-01-08,0.008244827536287719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040109,2004-01-09,0.008230123087571034,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040110,2004-01-10,0.0056328497123267025,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040111,2004-01-11,0.0018010630528659435,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040112,2004-01-12,0.0010512062779420525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040113,2004-01-13,0.001579100784792278,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040114,2004-01-14,0.0023761096043249945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040115,2004-01-15,0.001392739515365631,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040116,2004-01-16,0.001815094892668662,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040117,2004-01-17,0.001170604472652018,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040118,2004-01-18,7.101885931497539E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040119,2004-01-19,0.0014306706912426699,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040120,2004-01-20,0.0011726417209020864,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040121,2004-01-21,0.0010843742120496818,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040122,2004-01-22,0.001291063485784615,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040123,2004-01-23,1.9972790177511023E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040124,2004-01-24,2.1215392173676425E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040125,2004-01-25,5.121275657294943E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040126,2004-01-26,0.0013783379334449423,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040127,2004-01-27,0.0011920582816695936,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040128,2004-01-28,0.0013502329283532051,"{""type"":""MultiPoint"",""coordinates"":[]}"
