system:index,date,ssrd_sum_J_m2,.geo
20040101,2004-01-01,1.0768259542311316E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040102,2004-01-02,1.77423310117392E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040103,2004-01-03,1.7017520952942822E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040104,2004-01-04,1.2235041737884529E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040105,2004-01-05,1.5799242845503975E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040106,2004-01-06,1.2356616463146908E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040107,2004-01-07,1.3853873986314287E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040108,2004-01-08,8686621.629763406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040109,2004-01-09,1.4236282763791056E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040110,2004-01-10,1.5111797093733065E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040111,2004-01-11,1.7652001285654075E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040112,2004-01-12,1.8815109429012902E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040113,2004-01-13,1.872502197331085E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040114,2004-01-14,1.6418573409909092E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040115,2004-01-15,1.9462859784720954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040116,2004-01-16,1.9014419689041395E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040117,2004-01-17,1.9177562984367788E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040118,2004-01-18,2.0520858278971754E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040119,2004-01-19,1.9090146367186397E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040120,2004-01-20,1.8928355086870145E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040121,2004-01-21,1.981478166363654E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040122,2004-01-22,1.835784315622177E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040123,2004-01-23,2.104571306868941E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040124,2004-01-24,2.2231588371400476E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040125,2004-01-25,2.029916194160496E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040126,2004-01-26,1.844106220873718E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040127,2004-01-27,1.8462329214857623E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040128,2004-01-28,1.946429032392189E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040129,2004-01-29,1.6419389867918842E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040130,2004-01-30,1.983855015487728E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040131,2004-01-31,1.979540505897698E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040201,2004-02-01,1.8395902420484412E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040202,2004-02-02,2.2197452935765445E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040203,2004-02-03,2.0767218455802374E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040204,2004-02-04,2.0771705268476713E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040205,2004-02-05,1.9725156111733183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040206,2004-02-06,2.1033178549716055E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040207,2004-02-07,1.9961682396002643E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040208,2004-02-08,2.055674042702626E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040209,2004-02-09,2.135701507707743E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040210,2004-02-10,2.044556148174903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040211,2004-02-11,1.9038798776834622E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040212,2004-02-12,1.6056853253386306E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040213,2004-02-13,1.9742946096361853E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040214,2004-02-14,1.9235830199345816E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040215,2004-02-15,1.9915277099753164E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040216,2004-02-16,1.8831839473441284E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040217,2004-02-17,2.089037518343266E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040218,2004-02-18,2.108754444516684E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040219,2004-02-19,2.0388024843055796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040220,2004-02-20,2.1148785009933162E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040221,2004-02-21,1.9184891634017605E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040222,2004-02-22,1.688084589970501E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040223,2004-02-23,1.8612014595187914E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040224,2004-02-24,1.9377395216904454E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040225,2004-02-25,1.9200347728172094E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040226,2004-02-26,1.71006009609295E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040227,2004-02-27,1.6059087235245716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040228,2004-02-28,2.2117441087271485E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040229,2004-02-29,2.1199696129994165E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040301,2004-03-01,2.1352962121887095E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040302,2004-03-02,1.7293983699115038E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040303,2004-03-03,1.8347322676147748E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040304,2004-03-04,1.2701658171070844E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040305,2004-03-05,1.3809758592142045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040306,2004-03-06,1.3531669967889804E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
