system:index,date,temperature_2m,.geo
0,2004-01-01,298.5636501312256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2004-01-02,299.57904116312665,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2004-01-03,299.26245816548663,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2004-01-04,298.5980116526286,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2004-01-05,298.86305173238117,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2004-01-06,298.5022373199463,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2004-01-07,299.09875806172687,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2004-01-08,298.9866059621175,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2004-01-09,298.9421895345052,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2004-01-10,298.995148340861,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2004-01-11,299.11739349365234,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2004-01-12,299.4162241617839,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2004-01-13,298.90555508931476,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2004-01-14,299.0363349914551,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2004-01-15,299.44620068868,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2004-01-16,299.4364528656006,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2004-01-17,299.24816640218097,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2004-01-18,299.2300828297933,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2004-01-19,298.8092091878255,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2004-01-20,298.58506711324054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2004-01-21,298.867472966512,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2004-01-22,298.43909962972003,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2004-01-23,299.1009991963704,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2004-01-24,298.7624034881592,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2004-01-25,298.934601465861,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2004-01-26,298.54276339213055,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2004-01-27,298.5595232645671,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2004-01-28,298.66557757059735,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2004-01-29,298.0718199412028,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2004-01-30,298.97665087382,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2004-01-31,299.23181915283203,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2004-02-01,299.0429496765137,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2004-02-02,299.21409861246747,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2004-02-03,299.00135040283203,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2004-02-04,299.2036641438802,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2004-02-05,299.30355707804364,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2004-02-06,299.3260021209717,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2004-02-07,298.6656386057536,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2004-02-08,299.26366233825684,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2004-02-09,299.34066581726074,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2004-02-10,299.3146565755208,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2004-02-11,299.2281443277995,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2004-02-12,299.00817743937176,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2004-02-13,298.84458033243817,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2004-02-14,299.21600405375165,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2004-02-15,298.88753445943195,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2004-02-16,298.91756502787274,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2004-02-17,299.1064058939616,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2004-02-18,298.7706158955892,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2004-02-19,298.89496994018555,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2004-02-20,298.8041655222575,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2004-02-21,298.9385350545247,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2004-02-22,299.23609733581543,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2004-02-23,299.55677858988446,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2004-02-24,299.48806953430176,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2004-02-25,299.00538126627606,"{""type"":""MultiPoint"",""coordinates"":[]}"
